"","ISI","DMC","DC","temp","RH","wind","wkd","wkdM","summer","areaTrans","FFMCQuantile","wetness","rainvnorain"
"203",2.1,8.7,32.1,8.8,68,2.2,1,1,0,2.64262239577975,1,498.848,0
"194",9.2,133.3,699.6,24.3,25,4,0,0,1,2.34276688262688,9,478.3375,0
"419",8.1,203.2,664.5,24.9,42,5.4,1,1,1,1.23547147138531,7,834.981,0
"155",8.1,145.4,721.4,29.6,27,2.7,1,1,1,0.900161349944271,10,720.198,0
"123",8.5,124.1,680.7,22.5,42,5.4,1,1,1,0,8,718.62,0
"202",7.2,37.6,83.7,12.4,54,3.6,1,1,0,2.57261223020711,3,497.4912,0
"307",5.7,84.1,714.3,17.1,53,5.4,1,1,1,0.343589704390077,2,646.6265,0
"159",9.6,111.2,654.1,20.5,35,4,0,0,1,0.970778917158225,7,528.675,0
"212",20.3,139.4,594.2,5.1,96,5.8,1,1,1,3.29583686600433,10,555.072,0
"512",1.9,56.7,665.6,27.8,35,2.7,1,1,1,0,1,835.52,0
"161",6.2,39.7,86.6,16.1,29,3.1,0,1,0,1.01160091167848,3,332.949,0
"369",8.4,94.3,744.4,16.8,47,4.9,1,1,1,2.61300665241532,5,562.966,0
"118",7.8,35.8,80.8,15.2,27,4.9,1,1,0,0,7,292.734,0
"23",56.1,96.3,200,21,44,4.5,1,1,1,0,10,685.96,0
"417",8.9,164.1,575.8,26.3,39,3.1,0,0,1,2.08193842187842,9,845.793,0
"221",6.3,99.6,631.2,16.2,59,3.1,1,1,1,3.4986265269937,3,681.568,0
"282",2.6,25.4,349.7,5.1,24,8.5,0,0,0,3.24921102466427,1,138.768,0
"479",14.7,101.3,423.4,18.2,82,4.5,1,1,1,1.16627093714192,10,1073.052,0
"106",2.8,19.5,57.3,12.7,52,6.3,1,1,0,0,1,487.9888,0
"160",12.2,117.9,668,19,34,5.8,1,1,1,0.989541193613748,8,466.82,0
"130",8.8,46.5,691.8,15.4,35,0.9,1,1,0,0,9,384.44,0
"6",14.7,85.3,488,22.2,29,5.4,1,1,1,0,8,486.62,0
"511",7.1,166.9,752.6,18.2,62,5.4,1,1,1,0.357674444271816,5,811.332,0
"440",7.2,91.3,738.1,19.1,46,2.2,1,1,1,0.285178942233662,5,635.674,0
"313",0.4,46.2,706.6,12.2,78,6.3,1,1,1,0,1,709.6752,0
"205",7.8,50.1,100.4,15.1,64,4,1,1,0,2.70738331211451,3,689.344,0
"299",12.7,147.8,377.2,19.6,43,4.9,0,0,1,0,5,613.352,0
"466",1.8,3.6,15.3,4.6,59,0.9,1,1,0,2.05923883436232,1,331.3912,0
"360",10.2,122,789.7,21.1,39,2.2,1,1,1,2.21046980408624,8,611.793,0
"232",8.1,149.3,728.6,27.8,27,3.1,1,1,1,4.56622143584952,10,644.544,0
"112",9,33.3,77.5,18.8,18,4.5,1,1,0,0,7,244.242,0
"485",14.1,130.3,587.1,33.1,25,4,1,1,1,3.31163730494951,10,830.458333333333,0
"156",17,108.3,647.1,16.4,47,1.3,1,1,1,0.940007258491471,10,549.618,0
"54",9.6,111.2,654.1,20.4,42,4.9,0,0,1,0,7,630.336,0
"361",10.2,122,789.7,18.4,42,2.2,1,1,1,0.73716406597672,8,556.374,0
"344",7.5,130.1,807.1,15.9,51,4.5,0,1,1,1.15688119679209,6,578.289,0
"199",7,129.5,692.6,13.9,59,6.3,0,0,1,2.50470927708418,5,594.1772,0
"458",7.8,191.4,635.9,19.9,50,4,0,0,1,4.42783617070518,7,726.55,0
"401",14,49.5,297.7,28,34,4.5,0,0,1,2.21484617868604,9,821.553333333333,0
"502",14.3,181.1,671.2,21.6,65,4.9,0,0,1,0,10,1051.18,1
"503",14.3,181.1,671.2,20.7,69,4.9,0,0,1,0,10,1055.631,1
"82",6.3,99.6,631.2,17.9,44,2.2,1,1,1,0,3,565.158,0
"172",6.6,90.4,609.6,17.4,50,4,0,0,1,1.30562645805244,1,622.1,0
"339",6.2,108.4,764,22.7,35,2.2,0,1,1,2.13771044980381,6,606.55,0
"73",9,33.3,77.5,15.6,25,6.3,1,1,0,0,7,278.15,0
"287",12.5,183.1,437.7,12.6,90,7.6,0,0,1,0,5,839.448,1
"475",10.8,103.8,316.7,26.4,35,2.7,0,0,1,2.40514168131914,9,764.143333333333,0
"143",12.5,108,529.8,21.2,51,8.9,1,1,1,0.476234178996372,3,804.984,0
"495",14,164,643,30.8,30,4.9,1,1,1,2.26072088889535,10,863.46,0
"124",3.2,73.4,671.9,17.9,45,3.1,0,0,1,0,1,578.0025,0
"457",6.3,248.4,753.8,16.6,59,2.7,0,0,1,0,6,698.324,0
"358",10.2,122,789.7,15.9,55,3.6,1,1,1,0,8,623.645,0
"115",3.8,25.7,67.6,15.8,27,7.6,0,0,0,0,2,304.236,0
"365",6.5,111.7,770.3,21.1,35,2.7,0,0,1,1.89461685466776,7,549.045,0
"127",5,52.2,103.8,9,49,2.2,0,1,0,0,2,363.58,0
"180",9,147.3,614.5,14.4,66,5.4,0,0,1,1.82937633279936,2,683.5488,0
"329",8.4,102.3,751.5,19.7,35,1.8,1,1,1,0,8,502.355,0
"83",17,108.3,647.1,18.6,51,4.5,0,0,1,0,10,683.808,0
"335",6.2,108.4,764,18,51,5.4,0,1,1,0,6,659.175,0
"223",5,52.2,103.8,11,46,5.8,0,1,0,3.63363097988346,2,386.952,0
"45",6.2,82.9,735.7,12.9,74,4.9,0,0,1,0,3,702.9112,0
"91",8.9,96.9,624.2,14.7,59,5.8,1,1,1,0,3,621.1756,0
"418",9.9,17.3,28.3,13.8,24,5.8,0,0,0,0,10,240.3264,0
"378",8.4,231.1,715.1,21.9,42,2.2,1,1,1,5.16837950943364,10,691.446,0
"474",9.4,61.1,252.6,24.5,50,3.1,1,1,1,4.26717679299494,3,969.125,0
"451",18,217.7,690,23.4,49,5.4,0,0,1,2.00552585872967,10,886.9,0
"90",7.8,35.8,80.8,17.4,25,4.9,1,1,0,0,7,311.05,0
"128",8.1,149.3,728.6,17.2,43,3.1,1,1,1,0,10,528.083,0
"162",10.4,131.7,578.8,20.3,41,4,0,0,1,1.06471073699243,10,611.351,0
"499",14.3,181.1,671.2,33.3,26,2.7,0,0,1,3.72665681844797,10,874.683333333333,0
"501",14.3,181.1,671.2,21.6,65,4.9,0,0,1,0,10,1051.18,1
"210",17.9,80.9,685.2,23.2,26,4.9,0,0,1,3.19499288440487,10,464.88,0
"444",16.8,80.9,368.3,14.8,78,8,1,1,1,0,3,825.6768,0
"463",7.1,276.3,825.1,14.5,76,7.6,1,1,1,1.54968790802833,5,791.464,0
"372",8,133.6,520.5,14.2,58,4,0,0,1,0,7,594.0592,0
"435",5.5,269.8,811.2,22.2,45,3.6,1,1,1,0,3,755.1,0
"234",3.2,73.4,671.9,24.3,36,3.1,0,0,1,4.66964620517246,1,688.806,0
"72",15.9,85.1,692.3,17.7,37,3.6,1,1,1,0,10,469.2895,0
"42",8.9,96.9,624.2,18.4,42,6.7,1,1,1,0,3,556.374,0
"425",8.4,231.1,715.1,26.9,31,3.6,1,1,1,1.78507048107726,10,699.391,0
"427",6.3,248.4,753.8,20.4,56,2.2,0,0,1,0,6,840.448,0
"81",10.6,142.4,601.4,19.5,39,6.3,1,1,1,0,6,552.825,0
"280",2.6,25.4,349.7,4.6,21,8.5,0,1,0,2.3767644911683,1,117.9528,0
"300",0.4,71,233.8,10.6,90,2.7,1,1,1,0,1,736.488,0
"144",8.7,51.3,296.3,16.6,53,5.4,1,1,1,0.536493370514568,3,627.308,0
"421",7.8,191.4,635.9,26.2,36,4.5,0,0,1,5.22982437010274,7,775.488,0
"462",8.4,231.1,715.1,18.9,64,4.9,1,1,1,0,10,873.568,0
"192",10.4,131.7,578.8,24.2,28,2.7,0,0,1,2.27006190128849,10,532.252,0
"258",11,117.2,581.1,21.4,44,2.7,1,1,1,0.518793793415168,10,703.032,0
"103",17,108.3,647.1,20.1,40,4,0,0,1,0,10,588.68,0
"39",6.7,43.7,686.9,17.8,27,4,1,1,0,0,3,344.628,0
"48",11,62.3,442.9,23,36,3.1,0,1,1,0,10,635.76,0
"409",7.4,290,855.3,19.9,44,3.1,1,1,1,2.17475172148416,3,639.364,0
"420",7.6,181.3,613,24.8,36,4,1,1,1,1.39871688111845,6,711.216,0
"60",5.3,13.2,43,12.3,51,0.9,1,1,0,0,2,466.9356,0
"16",13.9,141.2,713.9,22.9,44,5.4,1,1,1,0,9,772.2,0
"391",4.1,9.5,58.3,7.5,71,6.3,0,1,0,2.39425228151987,1,482.09,0
"99",10.6,142.4,601.4,11.6,87,4.5,1,1,1,0,6,761.7024,0
"139",3.9,48.3,313.4,18,42,2.7,0,0,1,0.307484699747961,1,542.85,0
"469",8.5,20.6,43.5,13.3,27,3.6,0,0,0,2.02946317187359,6,262.6452,0
"382",6.8,194.1,643,16.2,63,2.7,0,0,1,2.85243910372751,3,727.776,0
"367",12.5,132.3,812.1,15.9,38,5.4,0,0,1,1.01160091167848,5,430.882,0
"51",9.2,137,706.4,20.8,17,1.3,0,0,1,0,9,261.732,0
"218",7.1,91.8,709.9,12.4,73,6.3,0,1,1,3.4442568711226,2,672.5344,0
"422",18,217.7,690,30.8,19,4.5,0,0,1,0,10,546.858,0
"64",6.3,99.6,631.2,20.8,33,2.7,1,1,1,0,3,508.068,0
"150",17.9,80.9,685.2,23.7,25,4.5,0,0,1,0.751416088683921,10,460.75,0
"86",9.2,137,706.4,21.5,15,0.9,0,0,1,0,9,241.125,0
"453",7.5,238.2,730.6,17.7,65,4,0,1,1,0,6,824.4275,0
"397",11.4,96.7,750.5,20.4,55,4.9,1,1,1,1.53471436623816,3,825.44,0
"229",8.1,149.3,728.6,28.3,26,3.1,1,1,1,4.17592454921452,10,639.608666666667,0
"286",12.3,169.7,411.8,23.4,40,6.3,1,1,1,0,10,724,0
"290",9,104.2,474.9,24.3,30,1.8,1,1,1,0,6,574.005,0
"449",10.1,284.9,844,10.5,77,4,0,0,1,0,2,625.702,0
"350",9.6,99,745.3,12.8,64,3.6,1,1,1,0.970778917158225,7,604.2624,0
"191",12.5,48.3,97.8,11.7,33,4,1,1,0,2.23108909128898,5,290.8092,0
"488",17.7,141.3,605.8,26.4,34,3.6,0,0,1,2.85647020622048,10,742.310666666667,0
"166",3,18.2,55,5.3,70,4.5,0,0,0,1.14422279992016,1,410.62,0
"327",8.4,102.3,751.5,24.1,27,3.1,1,1,1,0,8,509.8815,0
"2",6.7,35.4,669.1,18,33,0.9,0,0,0,0,3,426.525,0
"88",9.2,137,706.4,22.4,34,2.2,0,0,1,0,9,578,0
"227",11.1,48.5,696.1,16.1,44,4,0,1,0,3.91939575975756,7,505.164,0
"294",11,180.4,430.8,26.9,28,5.4,0,0,1,4.47106720146461,9,631.708,0
"228",11.9,81.8,480.8,20.1,34,4.5,1,1,1,4.08260930600368,8,500.378,0
"398",7.6,181.3,613,24.3,33,3.6,1,1,1,1.53255686809814,6,631.4055,0
"80",7,121.2,561.6,21.6,19,6.7,0,0,1,0,5,307.268,0
"241",3.8,17.2,43.5,15.2,51,2.7,0,0,0,0,2,552.942,0
"184",11.1,48.5,696.1,16.8,45,4.5,0,1,0,2.05796251000271,7,539.01,0
"216",7.8,35.8,80.8,17,27,4.9,1,1,0,3.38979933670979,7,327.24,0
"337",6.2,108.4,764,19.3,44,2.2,0,1,1,0,6,615.868,0
"265",13,167.6,684.4,21.8,53,3.1,1,1,1,2.02022218201986,10,867.398,0
"311",9.9,105.8,758.1,25.3,27,2.7,1,1,1,0,8,550.2195,0
"415",10.1,235.1,723.1,24.1,50,4,1,1,1,0,10,944.225,0
"249",13.5,157.3,666.7,28.7,28,2.7,0,0,1,0,9,705.124,0
"273",14.3,152.6,658.2,20.2,47,4,0,0,1,1.40854497005471,7,696.258,0
"243",12.9,122.3,589.9,15.4,66,4,1,1,1,2.40964416528745,10,724.944,0
"59",2.1,9.3,34,13.9,40,5.4,0,1,0,0,1,402.832,0
"230",11.9,81.8,480.8,16.4,43,4,1,1,1,4.28082412916472,8,502.842,0
"43",17,108.3,647.1,16.6,54,5.4,0,0,1,0,10,639.144,0
"140",7,129.5,692.6,21.7,38,2.2,0,0,1,0.357674444271816,5,618.222,0
"153",6.2,51.2,424.1,24.6,43,1.8,1,1,1,0.887891257352457,3,838.801,0
"246",13.8,175.1,700.7,26.8,38,6.3,1,1,1,0.56531380905006,7,851.782666666667,0
"464",1.9,4.4,16.2,4.6,82,6.3,0,0,0,1.85473426838944,1,460.5776,0
"11",7.1,88,698.6,17.8,51,7.2,1,1,1,0,8,650.964,0
"442",8.2,207,672.6,25.5,29,1.8,0,1,1,0.802001585472027,7,598.1975,0
"491",17.7,141.3,605.8,28.7,33,4,0,0,1,0,10,831.039,0
"476",18,121.7,350.2,22.7,40,9.4,0,0,1,1.43270073393405,10,693.2,0
"376",8.4,94.3,744.4,15.4,57,4.9,1,1,1,3.69759139471596,5,626.088,0
"239",8.6,121.1,674.4,25.1,27,4,1,1,1,6.99561962542321,8,543.4965,0
"269",14.3,152.6,658.2,21,32,3.1,0,0,1,0,7,498.88,0
"76",7.7,6.8,26.6,6.7,79,3.1,0,0,0,0,1,509.866,0
"254",8,109.2,565.5,21.4,38,2.7,0,0,1,0.924258901523332,7,607.164,0
"142",13.2,99.9,513.3,23.3,31,4.5,0,0,1,0.438254930931155,10,557.69,0
"111",2.8,19.5,57.3,13.7,43,5.8,1,1,0,0,1,428.1252,0
"349",9.6,99,745.3,17.4,57,4.5,1,1,1,0,7,709.194,0
"363",11.6,55.2,732.3,15.2,64,3.1,1,1,1,0.418710334858185,2,693.888,0
"352",9.6,99,745.3,15.4,53,6.3,1,1,1,2.11745960886736,7,582.152,0
"119",6.2,39.7,86.6,10.6,30,4,0,1,0,0,3,245.496,0
"211",6.7,43.7,686.9,18.4,25,3.1,1,1,0,3.22803376265297,3,331.175,0
"455",6.3,248.4,753.8,16.8,56,3.1,0,0,1,0,6,670.768,0
"505",20,139.4,689.1,28.9,29,4.9,0,0,1,3.92375392830384,10,738.755666666667,0
"38",8.7,41.5,682.6,11.3,60,5.4,1,1,0,0,3,515.016,0
"157",8.1,145.4,721.4,28.6,27,2.2,1,1,1,0.959350221334602,10,676.008,0
"240",3.5,3,7.9,13.4,75,1.8,1,1,0,0,1,733.86,0
"179",6.2,82.9,735.7,18.3,45,2.2,0,0,1,1.77155676191054,3,592.4925,0
"305",3.5,28,113.8,11.3,94,4.9,1,1,0,0,1,806.8584,0
"32",7.1,91.8,709.9,11.2,78,7.6,0,1,1,0,2,665.0592,0
"371",7.1,276.3,825.1,13.8,77,7.6,1,1,1,2.48989419129904,5,771.0472,0
"326",8.4,102.3,751.5,24.2,27,3.1,1,1,1,0,8,513.243,0
"448",9.9,17.3,28.3,8.9,35,8,0,0,0,0,10,258.23,0
"507",7.1,166.9,752.6,18.5,73,8.5,1,1,1,0,5,972.9075,0
"348",9.6,99,745.3,10.1,75,3.6,1,1,1,0,7,592.29,0
"77",5.3,13.2,43,15.7,43,3.1,1,1,0,0,2,481.471,0
"30",8.1,149.3,728.6,22.8,39,3.6,1,1,1,0,10,680.16,0
"75",13.9,141.2,713.9,27.6,30,1.3,1,1,1,0,9,707.42,0
"62",9.6,51.3,102.2,5.5,59,6.3,1,1,0,0,2,351.05,0
"197",2.7,9.1,55.2,5.8,54,5.8,0,0,0,2.47905623610982,1,328.104,0
"452",16.3,196.8,649.9,11.8,88,4.9,1,1,1,2.37117788445966,3,780.5248,0
"413",9.8,92.1,442.1,22.8,27,4.5,0,1,1,0.966983846189673,8,470.88,0
"303",7.1,94.1,232.1,19.2,38,4.5,1,1,1,0,5,528.504,0
"323",7.5,119,783.5,16.8,28,4,0,0,1,0.698134722070984,9,335.384,0
"484",14.1,130.3,587.1,31,27,5.4,1,1,1,0,10,786.6,0
"468",7.3,18.5,41.1,11.2,41,5.4,0,0,0,1.87946504964716,3,349.5824,0
"281",4.1,26.7,352.6,2.2,59,4.9,1,1,0,2.32922702394047,1,287.7784,0
"173",10.6,142.4,601.4,20.1,39,5.4,1,1,1,1.31908561142644,6,573.963,0
"79",12.5,108,529.8,14.7,66,2.7,1,1,1,0,3,694.8744,0
"145",13.2,99.9,513.3,23.8,32,5.4,0,0,1,0.570979546585738,10,593.28,0
"309",9.9,105.8,758.1,16,45,1.8,1,1,1,0,8,513.45,0
"264",7.1,141.1,629.1,19.3,39,3.6,1,1,1,0.940007258491471,5,545.883,0
"201",7,129.5,692.6,21.6,33,2.2,0,0,1,2.52812576890798,5,533.676,0
"423",5.2,263.1,795.9,29.3,27,3.6,1,1,1,1.98787434815435,2,705.969,0
"359",10.2,122,789.7,19.7,39,2.7,1,1,1,0,8,559.767,0
"482",9.5,114.4,560,30.2,22,4.9,0,0,1,0,9,610.016,0
"314",8.8,115.4,777.1,24.3,27,4.9,0,0,1,0,9,516.6045,0
"353",9.6,99,745.3,20.6,43,3.6,1,1,1,1.10856261952128,7,653.686,0
"251",13.5,157.3,666.7,26.8,25,3.1,0,0,1,0.518793793415168,9,560.383333333333,0
"266",14.6,102.2,550.3,22.1,54,7.6,0,0,1,0.582215619852664,10,900.18,0
"346",7.5,130.1,807.1,16.8,43,3.1,0,1,1,1.9213246735827,6,515.054,0
"84",9.6,111.2,654.1,16.6,47,0.9,0,0,1,0,7,556.292,0
"377",8.2,207,672.6,21.1,54,2.2,0,1,1,0,7,847.098,0
"70",9,33.3,77.5,17.2,26,4.5,1,1,0,0,7,319.306,0
"386",7.6,181.3,613,20.9,50,2.2,1,1,1,2.83321334405622,6,774.65,0
"74",9,147.3,614.5,17.3,43,4.5,0,0,1,0,2,531.5445,0
"253",13.5,157.3,666.7,22.1,37,3.6,0,0,1,0.19062035960865,9,616.79,0
"439",8.4,231.1,715.1,23.6,53,4,1,1,1,2.00552585872967,10,970.96,0
"24",6.2,110.9,537.4,19.5,43,5.8,1,1,1,0,3,609.525,0
"437",8.2,207,672.6,26.8,35,1.3,0,1,1,0.431782416425538,7,784.536666666667,0
"222",13.9,141.2,713.9,18.6,49,3.6,1,1,1,3.60766939868839,9,656.992,0
"94",10.6,142.4,601.4,18.2,43,4.9,1,1,1,0,6,562.698,0
"477",9.9,85.3,395,27.2,28,1.3,0,0,1,1.01523067972906,10,643.944,0
"256",5,77,694.8,22.3,46,4,0,0,1,0,2,776.94,0
"480",6.4,103.9,431.6,22.6,57,4.9,0,1,1,5.63310962136115,2,981.54,0
"61",9.6,51.3,102.2,11.5,39,5.8,1,1,0,0,2,339.222,0
"171",9.2,133.3,699.6,21.9,35,1.8,0,0,1,1.27256559579155,9,576.205,0
"174",7,126.5,686.5,17.7,39,2.2,0,1,1,1.4036429994545,5,494.6565,0
"414",8.4,231.1,715.1,26.4,33,3.6,1,1,1,0,10,720.478,0
"186",7,129.5,692.6,17.6,46,3.1,0,0,1,2.08442908319087,5,579.738,0
"342",6.5,111.7,770.3,15.7,51,2.2,0,1,1,0,7,571.047,0
"295",8.5,88.8,440.9,17.1,67,3.6,0,0,1,2.02419306744936,8,817.4335,0
"200",0.8,70.8,665.3,22.6,38,3.6,0,1,1,2.51122395810537,1,654.36,0
"316",7.2,134.7,817.5,18.5,30,2.7,0,0,1,0,5,399.825,0
"461",8.4,231.1,715.1,18.9,64,4.9,1,1,1,0,10,873.568,0
"332",8.5,124.4,795.3,21.5,28,4.5,1,1,1,2.81180943539306,5,450.1,0
"21",7,129.5,692.6,18.3,40,2.7,0,0,1,0,5,526.66,0
"183",3.9,15.6,48.3,12.4,53,2.2,1,1,0,1.99877363861238,2,488.2784,0
"40",3.8,25.7,67.6,14.1,43,2.7,0,0,0,0,2,437.9636,0
"388",8,18.9,30.6,11.6,48,5.4,0,0,0,0,5,420.2496,0
"385",7.7,273.8,819.1,21.3,44,4.5,1,1,1,2.57870052907436,6,698.764,0
"328",8.4,102.3,751.5,21.2,32,2.2,1,1,1,0,8,505.088,0
"380",0,1.1,171.4,5.2,100,0.9,1,1,0,0,1,582.4,0
"373",8.1,203.2,664.5,10.4,75,0.9,1,1,1,0,7,605.16,0
"97",2.6,8,30.2,12.7,48,1.8,1,1,0,0,1,450.4512,0
"236",10.6,142.4,601.4,19.6,41,5.8,1,1,1,5.28563731339066,6,584.824,0
"252",13.5,157.3,666.7,24,36,3.1,0,0,1,0.215111379616945,9,675.36,0
"208",7,129.5,692.6,20.7,37,2.2,0,0,1,2.90142159408275,5,566.063,0
"101",10.6,142.4,601.4,19.8,39,5.4,1,1,1,0,6,563.238,0
"36",6.3,80.7,730.2,18.2,62,4.5,0,0,1,0,3,811.332,0
"270",14.3,152.6,658.2,19.1,53,2.7,0,0,1,1.68639895357023,7,732.407,0
"67",12.2,117.9,668,23,37,4.5,1,1,1,0,8,653.42,0
"322",7.5,119,783.5,16.8,28,4,0,0,1,2.10535292346434,9,335.384,0
"416",13.9,222.4,698.6,27.5,27,4.9,0,0,1,6.61643994756459,10,632.745,0
"165",4.8,90,704.4,17.8,67,2.2,1,1,1,1.10194007876078,2,855.188,0
"250",13.5,157.3,666.7,21.7,40,0.4,0,0,1,1.24415459395877,9,650.76,0
"368",12.5,132.3,812.1,16.4,27,3.6,0,0,1,0,5,315.738,0
"4",9,33.3,77.5,8.3,97,4,1,1,0,0,7,691.222,1
